ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,208.0,00,KILOGRAMO,12,1.0,160.0,00,12.0,00,1920.0,12.0,20.0,00,28.0,00,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,23.0,00,UNIDAD,24,1.0,20.0,00,14.0,00,280.0,14.0,3.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00071,9,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,50.0,00,KILOGRAMO,12,1.0,40.0,00,12.0,00,480.0,12.0,10.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00051,10,Completa,Costa,Costa Norte,8.23015873015873,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,00,UNIDAD,24,1.0,0.0,00,,,,,10.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00029,00002,1,Completa,Costa,Costa Norte,10.5,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,3,3,1.0,QUESO,4208.0,50.0,00,UNIDAD,24,0.4,0.0,00,,,,,50.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00051,7,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,86.0,00,UNIDAD,24,0.8,86.0,00,8.0,00,688.0,10.0,0.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00095,13,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,6.0,00,UNIDAD,24,2.0,5.0,00,10.0,00,50.0,5.0,1.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00075,8,Completa,Costa,Costa Norte,10.538461538461538,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,200.0,00,UNIDAD,24,0.5,180.0,00,7.0,00,1260.0,14.0,20.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00002,1,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,2.0,00,UNIDAD,24,1.0,0.0,00,,,,,2.0,00,0.0,00,
2021.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00014,1,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,112.0,00,KILOGRAMO,12,1.0,100.0,00,8.0,00,800.0,8.0,12.0,00,0.0,00,
2021.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00055,4,Completa,Costa,Costa Norte,199.44444444444443,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,270.0,00,UNIDAD,24,0.25,0.0,00,,,,,260.0,00,10.0,00,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00051,6,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12,1.0,10.0,00,16.0,00,160.0,16.0,10.0,00,0.0,00,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00055,7,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,555.0,00,KILOGRAMO,12,1.0,500.0,00,20.0,00,10000.0,20.0,55.0,00,0.0,00,
