UBIGEO,ANIO,CCDD,NOMBREDD,CCPP,NOMBREPP,CCDI,NOMBREDI,CONGLOME,REGION,CODIGO,ZONA,X,Y,LONGITUD,LATITUD,ALTITUD
060201,2014.0,06,CAJAMARCA,02,CAJABAMBA,01,CAJABAMBA,05014,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,824114.0,9154898.0,-78.0626366658,-7.63545873699,2723.0
060201,2014.0,06,CAJAMARCA,02,CAJABAMBA,01,CAJABAMBA,05000,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,829748.0,9160845.0,-78.0119950402,-7.58138161925,3795.0
060203,2014.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04953,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,826911.0,9164517.0,-78.0379089661,-7.54838949603,3515.0
060203,2014.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04947,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,814162.0,9166769.0,-78.1534597224,-7.52881303125,2034.0
060204,2014.0,06,CAJAMARCA,02,CAJABAMBA,04,SITACOCHA,04989,SIERRA,Pequeños y medianos productores/as agropecuarios/as,18,182231.0,9166420.0,-77.879221186,-7.53175494869,2232.0
060601,2014.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02546,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,736109.0,9289505.0,-78.8653142459,-6.42334978607,2640.0
060901,2014.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01870,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,723941.0,9420934.0,-78.9795381427,-5.23558419774,1690.0
060904,2014.0,06,CAJAMARCA,09,SAN IGNACIO,04,LA COIPA,01992,SELVA,Pequeños y medianos productores/as agropecuarios/as,17,725488.0,9399036.0,-78.9649312527,-5.43351744641,1243.0
061304,2014.0,06,CAJAMARCA,13,SANTA CRUZ,04,CHANCAYBAÑOS,03490,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,741499.0,9271843.0,-78.8159219411,-6.58279623021,2177.0
061004,2014.0,06,CAJAMARCA,10,SAN MARCOS,04,GREGORIO PITA,04707,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,809051.0,9193437.0,-78.2012480777,-7.28817031931,2806.0
061002,2014.0,06,CAJAMARCA,10,SAN MARCOS,02,CHANCAY,04838,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,812717.0,9180570.0,-78.1673453391,-7.40421098066,3056.0
061001,2014.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04777,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,808570.0,9189835.0,-78.2054046368,-7.32073689026,2457.0
061005,2014.0,06,CAJAMARCA,10,SAN MARCOS,05,ICHOCAN,04827,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,820168.0,9184011.0,-78.1001066387,-7.37268577965,2989.0
061006,2014.0,06,CAJAMARCA,10,SAN MARCOS,06,JOSE MANUEL QUIROZ,04771,SIERRA,Pequeños y medianos productores/as agropecuarios/as,17,829013.0,9186657.0,-78.0202310418,-7.34825868661,3448.0
