ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00058,11,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,50.0,00,KILOGRAMO,12.0,1.0,25.0,00,20.0,00,500.0,20.0,25.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00071,13,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,70.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,70.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00075,14,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,75.0,00,MOLDE,41.0,0.45,0.0,00,,,,,70.0,00,5.0,00,
2022.0,20,PIURA,02,AYABACA,10,SUYO,00250,00080,15,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,71.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,71.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,09,SICCHEZ,00278,00001,1,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,60.0,00,UNIDAD,24.0,1.0,50.0,00,18.0,00,900.0,18.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,09,SICCHEZ,00278,00040,5,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,50.0,00,18.0,00,900.0,18.0,0.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00119,10,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,157.0,00,KILOGRAMO,12.0,1.0,130.0,00,16.0,00,2080.0,16.0,20.0,00,7.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00120,11,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,18.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,18.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00294,00137,12,Completa,Sierra,Sierra Norte,85.61041666666665,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,72.0,00,KILOGRAMO,12.0,1.0,50.0,00,18.0,00,900.0,18.0,22.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00017,1,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,1.0,0.0,00,,,,,8.0,00,2.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00113,7,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,25.0,00,5.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00116,8,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,25.0,00,15.0,00,375.0,15.0,20.0,00,5.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00122,9,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,20.0,00,15.0,00,300.0,15.0,20.0,00,10.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00132,10,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,100.0,00,KILOGRAMO,12.0,1.0,90.0,00,15.0,00,1350.0,15.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00046,3,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,45.0,00,KILOGRAMO,12.0,1.0,10.0,00,15.0,00,150.0,15.0,35.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00336,00038,1,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,43.0,00,UNIDAD,24.0,1.0,30.0,00,18.0,00,540.0,18.0,13.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,07,PAIMAS,00366,00002,1,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,22.0,50,KILOGRAMO,12.0,1.0,10.0,00,10.0,00,100.0,10.0,10.0,50,2.0,00,
2022.0,20,PIURA,02,AYABACA,07,PAIMAS,00366,00061,8,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,20.0,00,10.0,00,200.0,10.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,07,PAIMAS,00366,00066,10,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,75.0,60,KILOGRAMO,12.0,1.0,0.0,00,,,,,75.0,60,0.0,00,
2022.0,20,PIURA,02,AYABACA,07,PAIMAS,00366,00067,11,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,3.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,3.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,07,PAIMAS,00366,00070,13,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,48.0,00,KILOGRAMO,12.0,1.0,40.0,00,12.0,00,480.0,12.0,8.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00006,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,15.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,15.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00033,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,18.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,18.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00091,14,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,KILOGRAMO,12.0,1.0,20.0,00,20.0,00,400.0,20.0,20.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00096,15,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,180.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,180.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00394,00039,8,Completa,Costa,Costa Norte,114.7687074829932,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,24.0,00,25.0,00,600.0,25.0,6.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00394,00081,12,Completa,Costa,Costa Norte,114.7687074829932,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,3.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,3.0,00,0.0,00,
