ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00020,2,,Completa,COSTA,Costa Norte,16.357142857142858,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,6.0,000,QUINTAL,18.0,50.0,0.0,000,,,,6.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00074,5,,Completa,COSTA,Costa Norte,16.357142857142858,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,100.0,000,KILO,12.0,1.0,0.0,000,,,,100.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00035,4,,Completa,COSTA,Costa Norte,8.928571428571429,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,100.0,000,TERCIO,20.0,40.0,0.0,000,,,,100.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00059,6,,Completa,COSTA,Costa Norte,8.928571428571429,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,60.0,000,TERCIO,20.0,30.0,0.0,000,,,,60.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00003,1,,Completa,COSTA,Costa Norte,9.071428571428571,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,80.0,000,KILO,12.0,1.0,0.0,000,,,,80.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00015,2,,Completa,COSTA,Costa Norte,9.071428571428571,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,202.0,000,TERCIO,20.0,30.0,200.0,000,2.0,00,400.0,2.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00057,8,,Completa,COSTA,Costa Norte,9.071428571428571,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,120.0,000,TERCIO,20.0,30.0,0.0,000,,,,120.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00120,14,,Completa,COSTA,Costa Norte,9.071428571428571,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,50.0,000,KILO,12.0,1.0,0.0,000,,,,50.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00006,1,,Completa,COSTA,Costa Norte,9.769230769230768,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105.0,150.0,000,TERCIO,20.0,30.0,0.0,000,,,,150.0,000,0.0,000,
2017.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00029,3,,Completa,COSTA,Costa Norte,9.769230769230768,1.0,1.0,1.0,1.0,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105.0,600.0,000,TERCIO,20.0,40.0,0.0,000,,,,600.0,000,0.0,000,
