ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2016.0,20,PIURA,05,PAITA,04,COLAN,00105,00003,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Granja porcina,3.0,3.0,0.0,150,90.0,Manual?,Red pública,
2016.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,1,Granja avicola,Completa,Costa,,1.0080645161290323,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Granja avícola de pollo de engorde,16.0,0.0,4.0,160,390000.0,Manual?,Red pública,
2016.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,2,Granja avicola,Completa,Costa,,1.0080645161290323,Grandes productores agropecuarios,pase,Pecuaria,,,,,,,Granja avícola de pollo de engorde,18.0,0.0,4.0,680,450000.0,Manual?,Red pública,
2016.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00054,2,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Centro de engorde vacuno,3.0,0.0,0.0,300,750.0,Manual?,Red pública,
2016.0,20,PIURA,04,MORROPON,01,CHULUCANAS,00769,00079,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Establo lechero,8.0,0.0,0.0,500,400.0,Manual?,Pozo,
2016.0,20,PIURA,04,MORROPON,04,LA MATANZA,00896,00001,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,pase,Pecuaria,,,,,,,Centro de engorde vacuno,4.0,0.0,20.0,000,1000.0,Manual?,Pozo,
2016.0,20,PIURA,01,PIURA,11,LAS LOMAS,00950,00065,1,Persona natural,Completa,Costa,,3.5829596412556053,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Establo lechero,1.0,0.0,0.0,020,8.0,Manual?,Red pública,
2016.0,20,PIURA,01,PIURA,14,TAMBO GRANDE,00967,00029,1,Empresa,Completa,Costa,,6.1044176706827304,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Establo lechero,1.0,0.0,0.0,040,12.0,Manual?,Red pública,
2016.0,20,PIURA,01,PIURA,04,CASTILLA,01029,00117,1,Empresa,Completa,Costa,,6.1044176706827304,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Establo lechero,1.0,0.0,0.0,090,30.0,Manual?,Red pública,
2016.0,20,PIURA,01,PIURA,01,PIURA,01031,00006,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Centro de engorde vacuno,5.0,2.0,0.0,500,350.0,Manual?,Red pública,
2016.0,20,PIURA,01,PIURA,01,PIURA,01045,00076,1,Granja avicola,Completa,Costa,,1.0080645161290323,Grandes productores agropecuarios,pase,Pecuaria,,,,,,,Granja avícola de pollo de engorde,59.0,21.0,20.0,000,1800000.0,Automatico?,Red pública,
2016.0,20,PIURA,01,PIURA,05,CATACAOS,01052,00123,2,Granja avicola,Completa,Costa,,1.0080645161290323,Grandes productores agropecuarios,pase,Pecuaria,,,,,,,Granja avícola de gallina de postura,14.0,1.0,1.0,800,225000.0,Automatico?,Pozo,
2016.0,20,PIURA,08,SECHURA,03,BERNAL,01266,00062,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,Granja avícola de pollo de engorde,0.0,5.0,0.0,250,60.0,Manual?,Red pública,
2016.0,20,PIURA,08,SECHURA,03,BERNAL,01266,00062,1,Granja y Establo,Completa,Costa,,3.32425068119891,Grandes productores agropecuarios,Agrícola,Pecuaria,,,,,,,granja avícola de pavos de engorde,0.0,5.0,0.0,050,70.0,Manual?,Red pública,
