ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2017.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00006,2,,Completa,COSTA,Costa Norte,8.052521008403362,1.0,1.0,0.0,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,8.0,000,TABLETA,52.0,1.0,0.0,000,,,,8.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00026,4,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,000,SACO,19.0,46.0,0.0,000,,,,1.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00038,6,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,000,SACO,19.0,46.0,0.0,000,,,,1.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00083,11,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18.0,46.0,0.0,000,,,,1.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00083,11,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,20.0,000,QUINTAL,18.0,50.0,20.0,000,140.0,00,2800.0,0.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00095,13,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18.0,46.0,0.0,000,,,,1.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,10,SUYO,00258,00095,13,,Completa,COSTA,Costa Norte,124.66256157635468,1.0,1.0,1.0,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,25.0,000,QUINTAL,18.0,50.0,25.0,000,140.0,00,3500.0,0.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,01,AYABACA,00285,00071,7,,Completa,SIERRA,Sierra Norte,73.38035714285715,1.0,1.0,1.0,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,2.0,000,QUINTAL,18.0,50.0,0.0,000,,,,2.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00009,1,,Completa,SIERRA,Sierra Norte,73.38035714285715,1.0,1.0,1.0,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,8.0,000,KILO,12.0,1.0,0.0,000,,,,8.0,000,0.0,000,
2017.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,,Completa,SIERRA,Sierra Norte,73.38035714285715,1.0,1.0,1.0,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18.0,50.0,0.0,000,,,,0.0,980,0.0,020,
