ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00058,3,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,140.0,00,UNIDAD,24.0,0.5,60.0,00,2.0,00,120.0,50.0,00,30.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00160,10,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,157.0,00,UNIDAD,24.0,0.5,150.0,00,4.0,00,600.0,7.0,00,0.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00162,11,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,232.0,00,MOLDE,41.0,0.7,140.0,00,5.0,00,700.0,27.0,00,65.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00181,12,,Completa,Costa,Costa Norte,16.357142857142858,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,450.0,00,UNIDAD,24.0,0.5,438.0,00,6.0,00,2628.0,8.0,00,4.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00085,10,,Completa,Costa,Costa Norte,9.615384615384615,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,40.0,00,KILO,12.0,1.0,20.0,00,8.0,00,160.0,10.0,00,10.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00103,12,,Completa,Costa,Costa Norte,9.615384615384615,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,48.0,00,KILO,12.0,1.0,28.0,00,8.0,00,224.0,10.0,00,10.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00016,2,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,625.0,00,MOLDE,41.0,0.5,530.0,00,5.0,00,2650.0,75.0,00,20.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00025,3,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,150.0,00,MOLDE,41.0,0.5,0.0,00,,,,120.0,00,30.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00034,4,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,75.0,00,MOLDE,41.0,0.5,0.0,00,,,,45.0,00,30.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00081,8,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,300.0,00,MOLDE,41.0,0.5,150.0,00,5.0,00,750.0,120.0,00,30.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00082,9,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,87.0,00,MOLDE,41.0,0.5,40.0,00,5.0,00,200.0,30.0,00,17.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00104,11,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,250.0,00,MOLDE,41.0,0.5,154.0,00,5.0,00,770.0,48.0,00,48.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00119,13,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,120.0,00,MOLDE,41.0,0.5,78.0,00,5.0,00,390.0,32.0,00,10.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00121,14,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,150.0,00,MOLDE,41.0,0.5,0.0,00,,,,100.0,00,50.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00023,3,,Completa,Costa,Costa Norte,9.071428571428571,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,10.0,00,KILO,12.0,1.0,8.0,00,10.0,00,80.0,1.0,00,1.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00026,1,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,200.0,00,UNIDAD,24.0,0.5,120.0,00,5.0,00,600.0,60.0,00,20.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00043,2,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,11.0,00,UNIDAD,24.0,0.25,0.0,00,,,,6.0,00,5.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00095,6,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,pase,Pecuaria,2.0,NATILLAS,8888.0,24.0,00,UNIDAD,24.0,0.25,0.0,00,,,,24.0,00,0.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00095,6,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,482.0,00,UNIDAD,24.0,0.5,300.0,00,6.0,00,1800.0,100.0,00,82.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00115,7,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,75.0,00,UNIDAD,24.0,0.5,60.0,00,5.0,00,300.0,10.0,00,5.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00115,7,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,pase,Pecuaria,2.0,NATILLAS,8888.0,24.0,00,UNIDAD,24.0,0.5,0.0,00,,,,24.0,00,0.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00163,10,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,3.0,NATILLAS,8888.0,25.0,00,UNIDAD,24.0,0.2,0.0,00,,,,20.0,00,5.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00163,10,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,2.0,QUESO,4208.0,226.0,00,UNIDAD,24.0,0.5,150.0,00,5.0,00,750.0,50.0,00,26.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00163,10,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESILLO,8888.0,280.0,00,UNIDAD,24.0,0.2,0.0,00,,,,200.0,00,80.0,00,
2016.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00205,13,,Completa,Costa,Costa Norte,16.615384615384613,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,0.5,30.0,00,5.0,00,150.0,10.0,00,10.0,00,
2016.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00079,11,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,120.0,00,UNIDAD,24.0,0.5,90.0,00,6.0,00,540.0,20.0,00,10.0,00,
2016.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00085,12,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,140.0,00,UNIDAD,24.0,0.4,120.0,00,5.0,00,600.0,15.0,00,5.0,00,
2016.0,24,TUMBES,01,TUMBES,01,TUMBES,00026,00089,9,,Completa,Costa,Costa Norte,8.923076923076922,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,100.0,00,UNIDAD,24.0,0.25,80.0,00,3.0,00,240.0,8.0,00,12.0,00,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00027,4,,Completa,Costa,Costa Norte,9.428571428571429,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,19.0,00,UNIDAD,24.0,0.25,15.0,00,5.0,00,75.0,2.0,00,2.0,00,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00056,9,,Completa,Costa,Costa Norte,8.671945701357467,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,94.0,00,KILO,12.0,1.0,58.0,00,8.0,00,464.0,26.0,00,10.0,00,
2016.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00067,11,,Completa,Costa,Costa Norte,8.671945701357467,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,8.0,00,KILO,12.0,1.0,0.0,00,,,,4.0,00,4.0,00,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00064,9,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,45.0,00,UNIDAD,24.0,0.5,20.0,00,6.0,00,120.0,10.0,00,15.0,00,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00070,10,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,5.0,00,UNIDAD,24.0,0.5,5.0,00,5.0,00,25.0,0.0,00,0.0,00,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00073,11,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,18.0,00,UNIDAD,24.0,0.5,9.0,00,5.0,00,45.0,9.0,00,0.0,00,
2016.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00103,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,20.0,00,MOLDE,41.0,0.5,0.0,00,,,,10.0,00,10.0,00,
2016.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,00014,3,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,0.25,0.0,00,,,,10.0,00,0.0,00,
2016.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00065,00002,1,,Completa,Costa,Costa Norte,9.076923076923077,Pequeños y medianos productores agropecuarios,Agricola,Pecuaria,1.0,QUESO,4208.0,515.0,00,UNIDAD,24.0,0.5,485.0,00,3.0,50,1698.0,30.0,00,0.0,00,
2016.0,20,PIURA,07,TALARA,01,PARIÑAS,00073,00049,10,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,182.0,00,KILO,12.0,1.0,150.0,00,10.0,00,1500.0,32.0,00,0.0,00,
2016.0,20,PIURA,07,TALARA,01,PARIÑAS,00073,00059,12,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,657.0,00,KILO,12.0,1.0,657.0,00,14.0,00,9198.0,0.0,00,0.0,00,
2016.0,20,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00112,00060,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores agropecuarios,pase,Pecuaria,1.0,QUESO,4208.0,720.0,00,MOLDE,41.0,0.45,700.0,00,6.0,00,4200.0,20.0,00,0.0,00,
